index,X,Y,Z,formation
135,549848.40781082,7490011.21846145,562.0,Boolgeeda_Iron_Formation
136,551356.23351303,7490337.18942372,561.0,Boolgeeda_Iron_Formation
137,553672.0488464001,7490845.75028981,559.0,Boolgeeda_Iron_Formation
138,556093.73961692,7490584.26908975,561.0,Boolgeeda_Iron_Formation
139,558764.58186379,7490563.31014512,574.0,Boolgeeda_Iron_Formation
140,560878.5594178,7491095.3311931,578.0,Boolgeeda_Iron_Formation
141,561789.33031594,7490993.84150963,570.0,Boolgeeda_Iron_Formation
142,562666.8601065436,7474303.736969869,629.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
143,562066.23922205,7476122.84212955,699.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
144,561907.56128285,7476837.33175473,697.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
145,561325.67908815,7478291.84964806,692.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
146,560188.35912337,7479905.32126362,700.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
147,562666.8601065436,7482869.427093833,647.0,Weeli_Wolli_Formation
148,560097.61171963,7483252.82965071,621.0,Weeli_Wolli_Formation
149,556566.08993526,7484299.80100578,651.0,Weeli_Wolli_Formation
150,553982.8197996999,7485344.76888969,558.0,Weeli_Wolli_Formation
151,552168.44860345,7486264.75878781,516.0,Weeli_Wolli_Formation
152,550652.62835192,7487132.23928278,580.0,Weeli_Wolli_Formation
153,549617.7503461,7487488.22997453,597.0,Weeli_Wolli_Formation
154,549389.11159095,7487552.73994988,567.0,Weeli_Wolli_Formation
155,546514.16126613,7488545.173531982,626.0,Weeli_Wolli_Formation
156,546367.5518168897,7488800.982476825,610.0,Weeli_Wolli_Formation
157,546769.69092717,7490574.18953787,617.0,Weeli_Wolli_Formation
158,549612.92941498,7491257.70840283,604.0,Weeli_Wolli_Formation
159,553389.60825599,7491734.25008904,598.0,Weeli_Wolli_Formation
160,558926.24147583,7492284.28981386,637.0,Weeli_Wolli_Formation
161,562519.63842961,7492724.33079619,654.0,Weeli_Wolli_Formation
162,541882.099979308,7489228.456797632,636.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
163,541605.51173281,7490293.64940113,601.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
164,542513.2938496303,7490840.524962839,620.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
165,542531.8096195869,7490848.342610663,620.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
166,542547.95140947,7490855.15792695,620.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
167,543467.99097744,7491303.65795348,605.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
168,544110.3011546083,7491894.921441781,600.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
169,544287.5269318117,7491735.850058673,608.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
170,544926.63823746,7492066.66929338,589.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
171,546676.94153442,7492650.16837709,593.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
172,548609.52489295,7492518.29249962,582.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
173,549683.97767677,7492784.70106414,601.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
174,551366.02648348,7493247.45650733,626.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
175,553296.87080182,7493166.24073022,622.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
176,555720.38093127,7493233.75860931,602.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
177,558772.24028171,7494310.79051337,624.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
178,562070.94109627,7494625.30858861,593.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
179,562430.00961093,7494692.31966486,589.0,Mount_McRae_Shale_and_Mount_Sylvia_Formation
180,562666.8601065436,7476861.296142013,766.0,Brockman_Iron_Formation
181,562217.75059066,7478572.83964991,801.0,Brockman_Iron_Formation
182,561282.99093697,7479926.84133925,866.0,Brockman_Iron_Formation
183,560332.30925737,7480606.83124114,904.0,Brockman_Iron_Formation
184,560034.59914607,7480850.32970536,762.0,Brockman_Iron_Formation
185,558526.34070255,7481959.81044598,643.0,Brockman_Iron_Formation
186,555008.22896775,7484327.27993153,573.0,Brockman_Iron_Formation
187,553579.43850591,7484774.26939308,523.0,Brockman_Iron_Formation
188,542552.4190936406,7488853.30590915,675.0,Brockman_Iron_Formation
189,542256.64092283,7489469.16105509,816.0,Brockman_Iron_Formation
190,542717.9220280568,7490577.91467688,615.0,Brockman_Iron_Formation
