X,Y,Z,azimuth,dip,polarity,formation
546239.663881355,7511670.246964795,645.0,286.6872602909004,9.766442953702693,1,Wittenoom_Formation
544745.17500337,7510007.90110997,649.0,309.3256855354385,9.320135636243762,1,Wittenoom_Formation
543475.585569415,7506648.89978729,609.0,307.8615347505321,5.288928048289363,1,Wittenoom_Formation
539825.725655455,7503342.89565691,589.0,333.9172831878535,16.76051674247394,1,Wittenoom_Formation
536863.48003468,7503051.639916777,575.0,307.87616476595366,10.172599341463313,1,Wittenoom_Formation
536043.5198349,7501279.869339115,541.0,346.98159358473015,3.7773895352335103,1,Wittenoom_Formation
532579.6545240919,7501109.526704033,556.0,356.57168183297784,21.553207162127595,1,Wittenoom_Formation
528755.2595402,7501010.559260275,562.0,353.65465161258834,32.706386863134476,1,Wittenoom_Formation
532403.793587245,7520891.245459585,637.0,147.8967883967606,5.888171214223733,1,Marra_Mamba_Iron_Formation
549640.4746225451,7520788.18345459,662.0,197.17279343343057,25.8885572641406,1,Marra_Mamba_Iron_Formation
551571.896228555,7519743.42064951,703.0,224.57679862911263,27.64262495794045,1,Marra_Mamba_Iron_Formation
553158.67871308,7518005.1440775385,686.0,240.02880564478653,24.330133633478933,1,Marra_Mamba_Iron_Formation
553026.76498694,7516132.881122145,672.0,319.4404708070117,19.40938376688973,1,Marra_Mamba_Iron_Formation
551999.52199276,7514902.41648585,660.0,331.9203307852867,15.121617692438193,1,Marra_Mamba_Iron_Formation
549936.6440153851,7514249.879969545,716.0,326.0803900294932,8.711833054957651,1,Marra_Mamba_Iron_Formation
547878.06016185,7513312.634993495,690.0,328.52301616224617,4.3395086730918,1,Marra_Mamba_Iron_Formation
547065.151838509,7512048.2621316835,631.0,297.93006090963837,7.926894500502257,1,Marra_Mamba_Iron_Formation
546765.8207325846,7511009.77776009,691.0,281.52877040763894,7.176169321669633,1,Marra_Mamba_Iron_Formation
545709.390565855,7509976.640225082,712.0,311.79110151988016,7.997016883137491,1,Marra_Mamba_Iron_Formation
544865.308746795,7508355.144806145,657.0,304.88432732207644,4.845706458829966,1,Marra_Mamba_Iron_Formation
543948.80037056,7506864.398515895,628.0,303.937432619672,4.670201364897012,1,Marra_Mamba_Iron_Formation
542739.87563304,7504741.648057965,613.0,321.6161681951538,13.590823748219721,1,Marra_Mamba_Iron_Formation
